DIRECTORIO;SECUENCIA_P;ORDEN;P6074;P6075;P6076;P6076S1;P6095;mes;fex_c_2011
3074911;1;1;1; ; ; ; ;11;117,99327169937
3074912;1;1;1; ; ; ; ;11;117,99327169937
3074913;1;1;1; ; ; ; ;11;138,80101416294
3074913;1;2;1; ; ; ; ;11;138,80101416294
3074913;1;3;1; ; ; ; ;11;138,80101416294
3074914;1;1;1; ; ; ; ;11;139,985160994868
3074914;1;2;1; ; ; ; ;11;139,985160994868
3074915;1;1;1; ; ; ; ;11;141,359223114963
3074915;1;2;1; ; ; ; ;11;141,359223114963
3074915;1;3;1; ; ; ; ;11;141,359223114963
3074915;1;4;1; ; ; ; ;11;141,359223114963
3074915;1;5;1; ; ; ; ;11;141,359223114963
3074916;1;1;1; ; ; ; ;11;153,580739196102
3074916;1;2;1; ; ; ; ;11;153,580739196102
3074916;1;3;1; ; ; ; ;11;153,580739196102
3074916;1;4;1; ; ; ; ;11;153,580739196102
3074917;1;1;2;6; ; ; ;11;124,136089759447
3074917;1;2;2;6; ; ; ;11;124,136089759447
3074917;1;4;1; ; ; ; ;11;124,136089759447
3074918;1;1;1; ; ; ; ;11;142,791523240714
3074918;1;2;1; ; ; ; ;11;142,791523240714
3074919;1;1;2;6; ; ; ;11;144,043789470127
3074919;1;2;1; ; ; ; ;11;144,043789470127
3074920;1;1;1; ; ; ; ;11;162,02802292321
3074920;1;2;1; ; ; ; ;11;162,02802292321
3074920;1;3;1; ; ; ; ;11;162,02802292321
3074921;1;1;2;6; ; ; ;11;107,747649169858
3074921;1;2;1; ; ; ; ;11;107,747649169858
3074921;1;3;2;6; ; ; ;11;107,747649169858
3074921;1;4;1; ; ; ; ;11;107,747649169858
3074921;1;5;1; ; ; ; ;11;107,747649169858
3074921;1;6;1; ; ; ; ;11;107,747649169858
3074922;1;1;1; ; ; ; ;11;108,110678781295
3074922;1;2;1; ; ; ; ;11;108,110678781295
3074922;1;3;1; ; ; ; ;11;108,110678781295
3074923;1;1;1; ; ; ; ;11;154,017408722352
3074923;1;2;2;6; ; ; ;11;154,017408722352
3074923;1;3;1; ; ; ; ;11;154,017408722352
3074924;1;1;2;5;2;73;1;11;136,77708135574
3074925;1;1;2;6; ; ; ;11;169,229620705327
3074925;1;2;1; ; ; ; ;11;169,229620705327
3074925;1;3;1; ; ; ; ;11;169,229620705327
3074926;1;1;1; ; ; ; ;11;126,272378241875
3074926;1;2;2;6; ; ; ;11;126,272378241875
3074926;1;3;2;6; ; ; ;11;126,272378241875
3074926;1;5;2;1;2;41;1;11;126,272378241875
3074926;1;6;2;1;2;41;1;11;126,272378241875
3074927;1;1;2;6; ; ; ;11;105,444432701993
3074927;1;2;2;6; ; ; ;11;105,444432701993
3074927;1;3;2;6; ; ; ;11;105,444432701993
3074928;1;1;2;6; ; ; ;11;229,066270567988
3074928;1;2;1; ; ; ; ;11;229,066270567988
3074929;1;1;1; ; ; ; ;11;126,534343885556
3074929;1;2;1; ; ; ; ;11;126,534343885556
3074930;1;1;2;2;2;17;1;11;185,019008304178
3074930;1;2;2;2;2;17;1;11;185,019008304178
3074930;1;3;2;6; ; ; ;11;185,019008304178
3074930;1;4;2;2;2;17;1;11;185,019008304178
3074931;1;1;2;6; ; ; ;11;173,989383650872
3074931;1;2;2;6; ; ; ;11;173,989383650872
3074931;1;3;2;6; ; ; ;11;173,989383650872
3074932;1;1;2;2;2;76;1;11;208,45523656401
3074932;1;2;2;1;2;76;1;11;208,45523656401
3074933;1;1;2;6; ; ; ;11;104,361146219758
3074933;1;2;1; ; ; ; ;11;104,361146219758
3074933;1;3;1; ; ; ; ;11;104,361146219758
3074933;1;4;2;4;2;17;2;11;104,361146219758
3074935;1;1;1; ; ; ; ;11;170,766790857966
3074935;1;2;2;1;2;05;1;11;170,766790857966
3074936;1;1;2;6; ; ; ;11;172,827443401891
3074936;1;2;2;6; ; ; ;11;172,827443401891
3074937;1;1;2;2;2;66;2;11;206,863813758786
3074937;1;2;2;2;2;66;2;11;206,863813758786
3074937;1;3;2;2;2;66;2;11;206,863813758786
3074937;1;4;2;2;2;66;2;11;206,863813758786
3074938;1;1;1; ; ; ; ;11;193,237332230681
3074938;1;2;1; ; ; ; ;11;193,237332230681
3074939;1;1;1; ; ; ; ;11;177,393691979244
3074940;1;1;1; ; ; ; ;11;193,237332230681
3074940;1;2;1; ; ; ; ;11;193,237332230681
3074941;1;1;2;6; ; ; ;11;179,990548854043
3074941;1;2;1; ; ; ; ;11;179,990548854043
3074942;1;1;1; ; ; ; ;11;169,175368052741
3074942;1;2;1; ; ; ; ;11;169,175368052741
3074942;1;3;1; ; ; ; ;11;169,175368052741
3074943;1;1;2;6; ; ; ;11;142,549870168776
3074943;1;2;1; ; ; ; ;11;142,549870168776
3074944;1;1;1; ; ; ; ;11;172,827443401891
3074944;1;2;1; ; ; ; ;11;172,827443401891
3074945;1;1;2;6; ; ; ;11;172,827443401891
3074945;1;2;1; ; ; ; ;11;172,827443401891
3074947;1;1;2;6; ; ; ;11;137,811735559639
3074947;1;2;1; ; ; ; ;11;137,811735559639
3074947;1;3;2;6; ; ; ;11;137,811735559639
