Directorio;Secuencia_p;Orden;P6074;P756;P756S1;P756S3;P755;P755S1;P755S3;P754;P753;P753S1;P753S3;P752;P1662;Mes;Fex_c_2011
5443741;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3289,51893455893
5443741;1;2;2;2;63; ;2; ; ;1;2; ; ;1; ;05;3289,51893455893
5443741;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3289,51893455893
5443741;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3289,51893455893
5443741;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3289,51893455893
5443742;1;1;2;2;68; ;2; ; ;1;2; ; ;1; ;05;1979,43120716581
5443742;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;05;1979,43120716581
5443742;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;05;1979,43120716581
5443742;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;05;1979,43120716581
5443742;1;5;1;1; ; ;2; ; ;1;2; ; ;1; ;05;1979,43120716581
5443743;1;1;2;2;13; ;2; ; ;1;2; ; ;1; ;05;2661,79753401439
5443743;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;05;2661,79753401439
5443743;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;05;2661,79753401439
5443743;1;4;2;2;13; ;2; ; ;1;2; ; ;1; ;05;2661,79753401439
5443744;1;1;2;1; ; ;2; ; ;1;2; ; ;1; ;05;2263,75472441297
5443745;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;05;1979,43120716581
5443745;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;05;1979,43120716581
5443745;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;05;1979,43120716581
5443746;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4903,44335464469
5443750;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3208,33566472605
5443750;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3208,33566472605
5443751;1;1;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3305,38107055151
5443751;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3305,38107055151
5443751;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3305,38107055151
5443762;1;1;2;2;68; ;3;68; ;1;2; ; ;1; ;05;4728,70665744085
5443765;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;05;2665,46935479905
5443765;1;2;2;1; ; ;2; ; ;1;2; ; ;1; ;05;2665,46935479905
5443765;1;3;2;1; ; ;2; ; ;1;2; ; ;1; ;05;2665,46935479905
5443766;1;1;2;2;68; ;2; ; ;1;2; ; ;1; ;05;3916,7158770989
5443766;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3916,7158770989
5443766;1;3;2;2;68; ;2; ; ;1;2; ; ;1; ;05;3916,7158770989
5443767;1;1;2;2;68; ;2; ; ;1;2; ; ;1; ;05;2628,99099577716
5443767;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;05;2628,99099577716
5443767;1;3;2;1; ; ;2; ; ;1;2; ; ;1; ;05;2628,99099577716
5443768;1;1;2;2;68; ;2; ; ;1;2; ; ;1; ;05;3305,38107055151
5443768;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3305,38107055151
5443768;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3305,38107055151
5443769;1;1;2;2;13; ;2; ; ;1;2; ; ;1; ;05;3066,04903891042
5443769;1;2;2;2;13; ;2; ; ;1;2; ; ;1; ;05;3066,04903891042
5443769;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3066,04903891042
5443769;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;05;3066,04903891042
5443772;1;1;2;2;5; ;2; ; ;1;2; ; ;1; ;05;4107,83916829988
5443772;1;2;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4107,83916829988
5443772;1;3;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4107,83916829988
5443772;1;4;1;1; ; ;2; ; ;1;2; ; ;1; ;05;4107,83916829988
5443783;1;1;2;2;11; ;2; ; ;1;2; ; ;1; ;05;2247,72880516947
